name,seqres
AMVW,AMVW
NECR,NECR
PNYQ,PNYQ
WVLQ,WVLQ
NPGA,NPGA
LTYP,LTYP
GTTS,GTTS
CPKM,CPKM
FFIR,FFIR
KTGN,KTGN
RGSY,RGSY
NKNQ,NKNQ
CWYK,CWYK
SSRN,SSRN
KNGD,KNGD
PECK,PECK
NRKC,NRKC
HTAN,HTAN
KWPM,KWPM
PDKM,PDKM
WYVV,WYVV
GCPK,GCPK
DRKK,DRKK
WNWC,WNWC
PAYK,PAYK
QKEE,QKEE
LYGF,LYGF
GRAR,GRAR
HFLW,HFLW
FHSL,FHSL
HERQ,HERQ
TMMP,TMMP
PEMT,PEMT
LSGH,LSGH
MPNS,MPNS
KKYS,KKYS
WDCD,WDCD
RSDW,RSDW
QPAL,QPAL
EYPW,EYPW
CFRY,CFRY
QETE,QETE
GWDT,GWDT
HDRQ,HDRQ
RTNL,RTNL
IMVW,IMVW
VKEQ,VKEQ
HEAH,HEAH
DEMY,DEMY
WNLY,WNLY
SPHG,SPHG
FQYW,FQYW
VSDD,VSDD
SDAK,SDAK
HLDH,HLDH
GGMD,GGMD
PFRW,PFRW
NMLG,NMLG
NWSN,NWSN
TRGN,TRGN
QICA,QICA
DHNR,DHNR
CDKL,CDKL
ADPG,ADPG
DHFW,DHFW
WSSW,WSSW
ITNH,ITNH
CACL,CACL
HFDQ,HFDQ
FIQA,FIQA
NQQC,NQQC
ALCP,ALCP
GPCV,GPCV
DFWV,DFWV
PHPC,PHPC
AVSM,AVSM
TSPC,TSPC
MWLF,MWLF
HKQL,HKQL
SAHD,SAHD
YNQP,YNQP
PQYL,PQYL
SHSC,SHSC
FNCR,FNCR
DHHE,DHHE
MIIM,MIIM
RYPG,RYPG
PMFI,PMFI
TIRG,TIRG
WHEL,WHEL
ALWP,ALWP
CMKC,CMKC
ESTM,ESTM
EMIR,EMIR
WKEG,WKEG
NKPS,NKPS
FCDI,FCDI
PAYR,PAYR
NTGH,NTGH
GREQ,GREQ
RHIQ,RHIQ
KKYC,KKYC
YSST,YSST
MNWM,MNWM
DNTG,DNTG
NPIF,NPIF
YLYA,YLYA
AISE,AISE
SAAR,SAAR
WQRL,WQRL
KIWI,KIWI
YMKK,YMKK
IWQA,IWQA
TLRF,TLRF
WVNW,WVNW
QKIH,QKIH
ENNT,ENNT
CQAA,CQAA
RMNL,RMNL
DCMQ,DCMQ
GCAE,GCAE
IYCC,IYCC
HYGI,HYGI
LNMQ,LNMQ
IGNE,IGNE
CRNA,CRNA
EWIH,EWIH
VSRP,VSRP
RWPF,RWPF
ADSL,ADSL
ARRH,ARRH
GSTY,GSTY
SITI,SITI
IVKV,IVKV
HTPP,HTPP
QHKL,QHKL
LDNT,LDNT
KCWA,KCWA
KDKA,KDKA
DMII,DMII
YDMP,YDMP
KDNF,KDNF
RGQA,RGQA
QSIS,QSIS
NMSV,NMSV
METL,METL
VYAY,VYAY
VYCP,VYCP
FIVM,FIVM
CTRV,CTRV
FPDC,FPDC
GSKT,GSKT
CGFR,CGFR
TRSH,TRSH
VSAC,VSAC
WMEV,WMEV
SKYM,SKYM
IEMQ,IEMQ
KTSE,KTSE
HFIG,HFIG
PRTR,PRTR
WNGE,WNGE
DFVP,DFVP
KHDF,KHDF
WELM,WELM
KPRK,KPRK
SLGK,SLGK
MWKN,MWKN
NTDY,NTDY
NKIP,NKIP
GCQW,GCQW
CGNR,CGNR
MDCH,MDCH
FYEH,FYEH
NENL,NENL
TSMR,TSMR
ETVQ,ETVQ
NLYD,NLYD
QSLR,QSLR
CCNM,CCNM
TIKC,TIKC
RPFF,RPFF
SIVL,SIVL
ADRN,ADRN
RVSH,RVSH
VPTF,VPTF
IYTM,IYTM
ENRG,ENRG
PIRF,PIRF
SGHT,SGHT
KFMW,KFMW
VNVE,VNVE
DHQD,DHQD
RKQI,RKQI
PPFQ,PPFQ
CYAI,CYAI
VEGM,VEGM
PVKV,PVKV
CGEF,CGEF
EFET,EFET
LHGV,LHGV
CQNM,CQNM
HHPD,HHPD
GIDF,GIDF
DVSH,DVSH
EQNY,EQNY
YWVP,YWVP
SREV,SREV
CFVK,CFVK
CSCE,CSCE
KQFR,KQFR
GFMM,GFMM
SDGG,SDGG
PTVI,PTVI
KVCK,KVCK
GDQE,GDQE
GVNQ,GVNQ
EHHR,EHHR
ESYE,ESYE
MKLK,MKLK
CKWA,CKWA
IWGS,IWGS
RHTY,RHTY
EHGF,EHGF
VGFI,VGFI
YMQM,YMQM
IQDC,IQDC
TMFP,TMFP
YLLA,YLLA
FNGV,FNGV
CQWN,CQWN
IIFC,IIFC
CYFW,CYFW
NDCR,NDCR
WCLH,WCLH
ICRV,ICRV
LFVP,LFVP
MVGK,MVGK
PDMV,PDMV
FQWF,FQWF
LICH,LICH
WRPF,WRPF
VEDP,VEDP
MFAC,MFAC
WWNS,WWNS
CGMH,CGMH
NTVT,NTVT
YMLC,YMLC
VTIH,VTIH
MWML,MWML
IHIF,IHIF
RSVW,RSVW
KFCC,KFCC
IYSG,IYSG
IVVS,IVVS
FWYD,FWYD
LMVK,LMVK
LFAS,LFAS
SVHG,SVHG
GVDR,GVDR
VIHW,VIHW
GNQY,GNQY
MMVT,MMVT
DYPH,DYPH
WHYA,WHYA
FAIF,FAIF
MNLG,MNLG
SSLA,SSLA
KATL,KATL
RYCC,RYCC
HKCL,HKCL
LDTN,LDTN
MFIG,MFIG
HPVY,HPVY
GPTW,GPTW
LVMI,LVMI
KLPT,KLPT
RLNQ,RLNQ
IKKN,IKKN
AQKT,AQKT
LCEE,LCEE
FQCR,FQCR
QSEW,QSEW
VVWW,VVWW
TSND,TSND
SYQF,SYQF
ATLM,ATLM
WENR,WENR
KTVS,KTVS
GKTK,GKTK
FFVR,FFVR
CEEV,CEEV
MACL,MACL
MWWT,MWWT
ICGH,ICGH
IDQT,IDQT
QGCS,QGCS
IVIL,IVIL
NTKN,NTKN
DLPK,DLPK
FRMH,FRMH
LEWF,LEWF
RFID,RFID
PLYY,PLYY
HIIP,HIIP
CWMM,CWMM
HIQQ,HIQQ
ILEE,ILEE
YNNA,YNNA
FRFM,FRFM
RWTW,RWTW
NSQL,NSQL
NMKK,NMKK
LTSA,LTSA
ARTD,ARTD
WCYH,WCYH
CMWP,CMWP
PHCS,PHCS
SPLN,SPLN
APDW,APDW
KEGM,KEGM
SYEV,SYEV
YCPI,YCPI
TRVA,TRVA
RAMI,RAMI
DLEF,DLEF
QCTI,QCTI
YEPV,YEPV
CWAK,CWAK
DPDD,DPDD
TTCK,TTCK
NESI,NESI
DGVF,DGVF
DVYL,DVYL
NHPH,NHPH
KRKQ,KRKQ
FEFA,FEFA
LDAC,LDAC
YSQT,YSQT
TYFF,TYFF
ALVN,ALVN
VMVQ,VMVQ
LVVR,LVVR
RSWY,RSWY
QHKQ,QHKQ
LHEP,LHEP
ARSK,ARSK
FPVM,FPVM
MHVD,MHVD
RMQL,RMQL
FDEA,FDEA
YSIF,YSIF
MEWG,MEWG
QIII,QIII
LIAY,LIAY
LSPG,LSPG
LSFH,LSFH
VWAT,VWAT
WMKT,WMKT
SEWR,SEWR
VAMH,VAMH
CVGQ,CVGQ
DAAY,DAAY
CHYS,CHYS
IWMF,IWMF
SRCW,SRCW
ETMQ,ETMQ
QHPN,QHPN
MLEP,MLEP
YLWR,YLWR
IHQN,IHQN
KWPF,KWPF
SKWK,SKWK
YIRV,YIRV
AVKM,AVKM
SRER,SRER
KVTF,KVTF
MART,MART
HLPC,HLPC
CGNP,CGNP
LIHW,LIHW
WRHE,WRHE
PLPD,PLPD
AISH,AISH
LVGA,LVGA
GDAN,GDAN
KFDC,KFDC
TVYN,TVYN
EHMH,EHMH
KEHT,KEHT
IGSA,IGSA
HNMM,HNMM
LWNH,LWNH
PKYY,PKYY
CCIM,CCIM
TIDF,TIDF
GYTV,GYTV
LNIN,LNIN
WRAS,WRAS
LANP,LANP
KEYL,KEYL
PIAT,PIAT
HNYA,HNYA
ERTP,ERTP
TAHS,TAHS
CMPV,CMPV
DPHY,DPHY
HVCL,HVCL
NRKH,NRKH
RHCG,RHCG
AKRV,AKRV
TSYG,TSYG
WASS,WASS
NIDH,NIDH
WNVC,WNVC
TLSL,TLSL
NMWE,NMWE
LKIY,LKIY
CVNT,CVNT
EEAP,EEAP
MGNK,MGNK
KDQP,KDQP
DTRQ,DTRQ
QVIH,QVIH
PTKM,PTKM
FVNA,FVNA
MTTV,MTTV
TLDK,TLDK
NRDV,NRDV
WYSN,WYSN
KKEI,KKEI
VKTG,VKTG
RTMS,RTMS
GVTS,GVTS
QVFG,QVFG
FSID,FSID
MCGK,MCGK
KRYF,KRYF
FSCA,FSCA
ENWS,ENWS
KLPS,KLPS
WHPD,WHPD
WERR,WERR
GVPD,GVPD
QATI,QATI
QIRW,QIRW
VCQD,VCQD
NHNV,NHNV
KSPQ,KSPQ
MQQR,MQQR
WMYG,WMYG
YIGK,YIGK
WAAR,WAAR
ILEI,ILEI
EWFS,EWFS
YAGP,YAGP
WSWA,WSWA
WKMM,WKMM
FWTN,FWTN
NIRN,NIRN
EEHP,EEHP
GKPE,GKPE
KPLK,KPLK
EWPS,EWPS
KLRS,KLRS
EYWY,EYWY
CFGR,CFGR
NEGH,NEGH
GDRM,GDRM
VGTI,VGTI
YCGL,YCGL
EVMG,EVMG
PQNW,PQNW
QVQH,QVQH
NTPI,NTPI
VMVI,VMVI
RHAT,RHAT
RVCM,RVCM
LSIN,LSIN
ATKL,ATKL
PSNL,PSNL
WESL,WESL
QPDG,QPDG
YRFL,YRFL
RTPP,RTPP
IVKA,IVKA
VVPK,VVPK
YKPE,YKPE
FHFW,FHFW
TRLH,TRLH
ITSL,ITSL
GEIE,GEIE
FGGQ,FGGQ
SSPD,SSPD
TWHQ,TWHQ
GEDR,GEDR
HNEC,HNEC
PQNL,PQNL
ECNQ,ECNQ
TSEQ,TSEQ
RLVW,RLVW
RDNT,RDNT
QMAH,QMAH
NVFD,NVFD
YHYT,YHYT
PMNY,PMNY
MGML,MGML
AFYE,AFYE
EGLV,EGLV
PGLP,PGLP
YNFY,YNFY
KTAC,KTAC
YHMC,YHMC
IATA,IATA
LPDV,LPDV
LIAS,LIAS
DDLY,DDLY
MQNA,MQNA
HISP,HISP
VKIN,VKIN
LGNP,LGNP
SCGK,SCGK
MKED,MKED
VAWY,VAWY
HWPF,HWPF
LMPY,LMPY
QICW,QICW
CPCR,CPCR
RSYT,RSYT
NLYT,NLYT
KIHC,KIHC
LMCP,LMCP
VTEC,VTEC
WSWH,WSWH
SSYR,SSYR
FTQN,FTQN
NRML,NRML
SFFL,SFFL
QRTP,QRTP
VPII,VPII
MYEK,MYEK
TSTF,TSTF
PKYM,PKYM
IITN,IITN
HPVW,HPVW
VNLP,VNLP
SVKP,SVKP
CDKP,CDKP
FDWC,FDWC
AKSF,AKSF
LYYM,LYYM
EDWE,EDWE
QDET,QDET
YACA,YACA
QMWK,QMWK
IIMH,IIMH
QCTC,QCTC
PMHG,PMHG
ECKA,ECKA
KQYL,KQYL
SPCL,SPCL
MQEK,MQEK
LIAN,LIAN
SCDL,SCDL
NDFP,NDFP
QKGE,QKGE
HNDV,HNDV
HHHE,HHHE
AWNV,AWNV
SPSG,SPSG
LRIA,LRIA
IVID,IVID
YQYS,YQYS
DGTP,DGTP
DTTL,DTTL
HWDN,HWDN
DGNC,DGNC
QGEG,QGEG
SNPP,SNPP
KVSH,KVSH
WLWV,WLWV
LMMA,LMMA
MGCM,MGCM
LNKP,LNKP
TPIG,TPIG
WEWH,WEWH
QCVC,QCVC
RMKF,RMKF
MDDE,MDDE
PGPQ,PGPQ
DVTF,DVTF
DKCT,DKCT
ECRP,ECRP
CCGP,CCGP
RFVF,RFVF
LMNC,LMNC
TICP,TICP
AKWL,AKWL
MTPT,MTPT
NTVY,NTVY
KNRS,KNRS
CYIT,CYIT
IAGE,IAGE
ICKI,ICKI
GQAS,GQAS
RNFR,RNFR
SAQL,SAQL
ICMM,ICMM
NVED,NVED
RLSM,RLSM
INMV,INMV
FGRY,FGRY
RGRW,RGRW
CNNG,CNNG
YGES,YGES
YLCN,YLCN
PASK,PASK
LYIT,LYIT
PLPM,PLPM
GDMM,GDMM
TQER,TQER
MTHR,MTHR
NKCN,NKCN
NDQA,NDQA
FIWM,FIWM
ATER,ATER
ISVY,ISVY
HVTG,HVTG
RPSV,RPSV
SGET,SGET
TNGR,TNGR
SFLC,SFLC
PPRD,PPRD
AWKW,AWKW
DLCW,DLCW
RFFC,RFFC
VIQR,VIQR
KIPG,KIPG
SRPE,SRPE
LMMY,LMMY
YDTM,YDTM
MTIG,MTIG
GSHI,GSHI
NCRV,NCRV
KPDS,KPDS
CNNL,CNNL
MGVK,MGVK
GWED,GWED
TYHW,TYHW
NMVM,NMVM
EHFA,EHFA
SVCM,SVCM
THET,THET
QGYR,QGYR
NTDC,NTDC
ETST,ETST
MLSM,MLSM
YRRQ,YRRQ
VWEA,VWEA
PFYW,PFYW
TIEI,TIEI
ECCQ,ECCQ
SVDV,SVDV
RYKY,RYKY
AMDS,AMDS
DMMK,DMMK
AMKE,AMKE
GNHG,GNHG
DVPC,DVPC
IQVY,IQVY
FNDE,FNDE
HTLS,HTLS
DFIG,DFIG
PVMD,PVMD
RAMS,RAMS
IASS,IASS
DMKH,DMKH
KYPS,KYPS
PVQF,PVQF
SWPS,SWPS
EQCI,EQCI
CNMV,CNMV
MVVG,MVVG
SVDI,SVDI
RRRN,RRRN
AFSS,AFSS
PAQD,PAQD
QATV,QATV
GFCR,GFCR
FNYS,FNYS
VNWN,VNWN
PMIH,PMIH
VDYL,VDYL
VICL,VICL
KYGL,KYGL
FHIK,FHIK
VVNY,VVNY
TYYT,TYYT
DLPN,DLPN
RNGI,RNGI
FFGV,FFGV
EIQM,EIQM
HRNL,HRNL
FHGM,FHGM
PQVA,PQVA
WIVH,WIVH
PTWK,PTWK
MFHD,MFHD
FHST,FHST
NMHA,NMHA
KSPI,KSPI
DDTI,DDTI
DVQS,DVQS
KGAT,KGAT
RITF,RITF
PNPL,PNPL
VICS,VICS
EDMF,EDMF
ESID,ESID
VESG,VESG
EKEN,EKEN
KAYY,KAYY
LMPW,LMPW
ANLI,ANLI
CALR,CALR
KMGI,KMGI
NEAE,NEAE
QAIC,QAIC
NKQE,NKQE
IRTF,IRTF
TCQN,TCQN
RPAY,RPAY
GTHQ,GTHQ
HVCH,HVCH
GVQA,GVQA
KQTA,KQTA
NWSA,NWSA
GLSC,GLSC
SPRS,SPRS
EDHW,EDHW
YHMA,YHMA
QFIR,QFIR
LKYW,LKYW
VRMD,VRMD
TPNP,TPNP
LFCF,LFCF
CEVE,CEVE
MDDA,MDDA
HNYT,HNYT
WPVP,WPVP
TTAV,TTAV
RTRI,RTRI
AYAG,AYAG
DYDT,DYDT
GEQE,GEQE
EGSA,EGSA
LEMF,LEMF
IEFW,IEFW
PIQS,PIQS
EAMT,EAMT
QCNI,QCNI
QNGS,QNGS
CFNL,CFNL
QQSV,QQSV
TCPN,TCPN
SWSR,SWSR
RTYL,RTYL
YPAE,YPAE
GLMQ,GLMQ
QCHI,QCHI
IGIR,IGIR
ICPI,ICPI
CDFV,CDFV
PISQ,PISQ
QYQM,QYQM
DFHH,DFHH
FVHV,FVHV
RKSK,RKSK
STLE,STLE
MKLD,MKLD
AAYG,AAYG
LHNG,LHNG
RWCV,RWCV
QCWF,QCWF
CKSK,CKSK
QIGA,QIGA
SFKL,SFKL
PFLN,PFLN
TGPF,TGPF
HTEE,HTEE
PDFH,PDFH
IFIM,IFIM
ITCK,ITCK
SKKP,SKKP
QLMD,QLMD
NLYY,NLYY
EVHQ,EVHQ
TSLV,TSLV
GRHR,GRHR
HYQF,HYQF
LSGA,LSGA
IAPM,IAPM
GEIN,GEIN
GLRD,GLRD
TDNC,TDNC
NMTH,NMTH
DHLQ,DHLQ
GLQA,GLQA
FNEP,FNEP
KHSF,KHSF
FKKS,FKKS
DIMC,DIMC
HWVN,HWVN
RNFI,RNFI
HDEG,HDEG
WVVN,WVVN
EQKE,EQKE
SCFD,SCFD
ADRR,ADRR
TVAF,TVAF
RVDC,RVDC
YFNI,YFNI
NGMW,NGMW
EKFN,EKFN
NFII,NFII
SAFS,SAFS
NNNY,NNNY
PFGK,PFGK
SGMK,SGMK
SHTM,SHTM
HDNH,HDNH
EWWP,EWWP
PFKH,PFKH
WSYL,WSYL
IHSC,IHSC
YYED,YYED
HCMW,HCMW
RNKR,RNKR
CRNH,CRNH
HPVR,HPVR
TKLY,TKLY
NNSK,NNSK
SPIQ,SPIQ
KWQV,KWQV
INEP,INEP
TCQL,TCQL
VKRD,VKRD
VPHC,VPHC
GNAN,GNAN
IVNE,IVNE
GMYD,GMYD
VTLF,VTLF
INSN,INSN
EQKH,EQKH
IRKL,IRKL
APIY,APIY
SPSP,SPSP
TWKI,TWKI
TWTC,TWTC
SFSI,SFSI
CSHN,CSHN
RHCA,RHCA
WTEF,WTEF
SNCQ,SNCQ
SLME,SLME
GHEW,GHEW
EMPE,EMPE
ADFS,ADFS
GHHS,GHHS
HGMC,HGMC
LWWR,LWWR
NVSG,NVSG
IVKI,IVKI
YNHE,YNHE
CPGT,CPGT
LAKQ,LAKQ
KNRG,KNRG
DFGC,DFGC
WNAI,WNAI
SKCN,SKCN
FYSC,FYSC
CTIY,CTIY
CSDP,CSDP
CHTN,CHTN
FWKT,FWKT
DWQH,DWQH
HWCS,HWCS
WWLW,WWLW
HADL,HADL
RITQ,RITQ
SREP,SREP
VQIF,VQIF
HMPQ,HMPQ
TFFD,TFFD
KGMF,KGMF
DKVN,DKVN
YWKS,YWKS
LHLT,LHLT
WHDD,WHDD
WALN,WALN
QSQH,QSQH
DFIT,DFIT
IGRW,IGRW
SKVS,SKVS
MDSD,MDSD
HPER,HPER
CRDW,CRDW
WECW,WECW
DWEI,DWEI
DCDT,DCDT
SWIH,SWIH
VQGR,VQGR
DPTP,DPTP
PHDF,PHDF
HHTM,HHTM
DLYK,DLYK
CLIQ,CLIQ
APYR,APYR
CPQV,CPQV
RLYF,RLYF
SSLI,SSLI
FAEQ,FAEQ
ELQC,ELQC
ARFI,ARFI
SQTV,SQTV
SWHG,SWHG
TNSD,TNSD
HPCP,HPCP
AFAN,AFAN
KAHA,KAHA
AMSN,AMSN
VPMS,VPMS
FRDK,FRDK
STCQ,STCQ
GIMS,GIMS
ICRN,ICRN
IYAG,IYAG
VWSY,VWSY
QAFG,QAFG
NNCH,NNCH
GGNN,GGNN
HVMA,HVMA
KGRI,KGRI
LAFF,LAFF
KCDN,KCDN
RFVY,RFVY
EYKW,EYKW
ASIR,ASIR
HPGV,HPGV
AKDI,AKDI
KDNH,KDNH
KKLH,KKLH
LCLD,LCLD
MLTD,MLTD
LAQY,LAQY
EPFC,EPFC
VRRL,VRRL
FSNW,FSNW
WDEK,WDEK
YDDY,YDDY
LNQE,LNQE
NLHN,NLHN
SLRQ,SLRQ
AFAT,AFAT
INVT,INVT
YYNC,YYNC
TMKL,TMKL
AIKI,AIKI
GALS,GALS
IIML,IIML
MQRK,MQRK
KAWH,KAWH
KWYI,KWYI
MKIP,MKIP
CLLI,CLLI
HHCW,HHCW
WWFP,WWFP
ISTG,ISTG
KYGD,KYGD
RPCK,RPCK
QMGG,QMGG
DARI,DARI
PMCE,PMCE
VYIV,VYIV
VHEY,VHEY
QMCG,QMCG
CLVL,CLVL
EKCS,EKCS
IKVP,IKVP
DNRP,DNRP
WLCW,WLCW
RSNE,RSNE
QKLT,QKLT
TEND,TEND
FMFY,FMFY
QYKD,QYKD
HQTR,HQTR
ALVT,ALVT
NGSN,NGSN
EALD,EALD
MPWC,MPWC
GGMI,GGMI
VIRS,VIRS
LSSM,LSSM
SYAY,SYAY
CVVM,CVVM
WTNV,WTNV
TVFM,TVFM
DECF,DECF
RETI,RETI
IMTD,IMTD
MQDV,MQDV
GNEP,GNEP
RFMC,RFMC
GGLH,GGLH
PKFI,PKFI
NGQG,NGQG
TFKL,TFKL
SRYN,SRYN
FFSS,FFSS
CKET,CKET
DDCM,DDCM
WRVY,WRVY
RGTH,RGTH
WWNN,WWNN
NMGV,NMGV
GFAE,GFAE
MMPT,MMPT
YIQY,YIQY
TNSF,TNSF
HHDM,HHDM
DQMG,DQMG
LHPN,LHPN
PWEA,PWEA
KGVA,KGVA
DRRI,DRRI
DFVM,DFVM
WDVE,WDVE
SQYV,SQYV
GDIA,GDIA
STMC,STMC
CTLK,CTLK
INYK,INYK
DAVY,DAVY
SAAE,SAAE
NQPC,NQPC
VGHL,VGHL
TSVY,TSVY
IDQL,IDQL
ETDI,ETDI
FCCD,FCCD
SRGC,SRGC
IHND,IHND
HKYL,HKYL
NQPS,NQPS
YWAE,YWAE
SDNQ,SDNQ
ISEG,ISEG
NATM,NATM
NGCV,NGCV
YNTC,YNTC
FFKA,FFKA
CTTS,CTTS
EEAD,EEAD
KHAQ,KHAQ
STQQ,STQQ
MMTS,MMTS
HDHV,HDHV
KGLQ,KGLQ
PKAM,PKAM
DQVY,DQVY
QQHD,QQHD
QQLR,QQLR
YCEQ,YCEQ
YYGY,YYGY
RLRR,RLRR
VRYS,VRYS
ESHL,ESHL
DYGS,DYGS
ITKD,ITKD
VTDQ,VTDQ
GLYK,GLYK
FNAL,FNAL
HMHG,HMHG
TDVT,TDVT
VSGS,VSGS
FSER,FSER
MHAN,MHAN
WYEG,WYEG
PCRG,PCRG
DIEM,DIEM
ESNY,ESNY
HYHD,HYHD
VFCC,VFCC
DSYW,DSYW
AQQM,AQQM
CYCW,CYCW
GKWK,GKWK
GRSD,GRSD
QEKH,QEKH
LPLF,LPLF
YPYG,YPYG
YDYS,YDYS
TSHA,TSHA
KMIK,KMIK
ACWG,ACWG
TGEQ,TGEQ
PHKQ,PHKQ
VGKH,VGKH
GHQI,GHQI
QPPG,QPPG
TYEF,TYEF
GHHY,GHHY
SLSL,SLSL
ARNE,ARNE
DATD,DATD
LAND,LAND
QIQA,QIQA
EHYP,EHYP
CASL,CASL
EPSF,EPSF
VELW,VELW
YERL,YERL
DEKS,DEKS
NQMW,NQMW
WMHS,WMHS
KNMV,KNMV
QTIW,QTIW
TQDA,TQDA
PYGD,PYGD
SFMV,SFMV
GHCR,GHCR
TFIR,TFIR
YAEP,YAEP
IYTY,IYTY
FSEY,FSEY
FINQ,FINQ
CGKE,CGKE
DDCQ,DDCQ
FDEE,FDEE
EMLR,EMLR
CKFY,CKFY
KRHR,KRHR
RNVV,RNVV
CVAP,CVAP
GFQD,GFQD
YSHN,YSHN
FDRF,FDRF
AEQN,AEQN
VFEW,VFEW
ETTF,ETTF
MSME,MSME
GNSW,GNSW
YTGA,YTGA
DYRD,DYRD
CMQY,CMQY
TCCW,TCCW
MHEG,MHEG
IDIK,IDIK
MMKE,MMKE
MVDE,MVDE
PECI,PECI
MLPV,MLPV
AKEK,AKEK
MTTY,MTTY
NFHF,NFHF
KVCV,KVCV
PSSQ,PSSQ
ILSQ,ILSQ
RGCN,RGCN
SLLK,SLLK
TISM,TISM
CKNM,CKNM
HMFA,HMFA
NEPY,NEPY
FIWR,FIWR
ACGP,ACGP
CMIN,CMIN
YQSH,YQSH
TKRK,TKRK
KKMP,KKMP
HDGN,HDGN
ANDY,ANDY
HDWG,HDWG
CGEE,CGEE
FYLE,FYLE
ICVE,ICVE
KGWY,KGWY
FVQW,FVQW
QQVE,QQVE
NCRD,NCRD
DLFD,DLFD
IVRM,IVRM
FIWK,FIWK
YLCY,YLCY
SWMY,SWMY
QWDN,QWDN
DEGK,DEGK
RPIK,RPIK
AMFA,AMFA
QTCQ,QTCQ
NTKK,NTKK
SCLE,SCLE
LPME,LPME
SEYY,SEYY
WWRY,WWRY
DDNS,DDNS
EKNR,EKNR
PKIQ,PKIQ
LRTG,LRTG
NANG,NANG
SMNT,SMNT
GHVQ,GHVQ
KAPS,KAPS
QHNC,QHNC
RQAQ,RQAQ
TAKP,TAKP
GSCG,GSCG
DYGD,DYGD
GTSS,GTSS
ALYP,ALYP
TDER,TDER
HYPN,HYPN
ERAS,ERAS
RMSP,RMSP
CIMM,CIMM
EYTT,EYTT
YSEC,YSEC
LLGP,LLGP
PEAA,PEAA
NQGY,NQGY
HQPP,HQPP
NRTP,NRTP
LALL,LALL
TPGN,TPGN
LEIA,LEIA
WEEA,WEEA
GVAG,GVAG
TCRA,TCRA
KVDG,KVDG
CMVY,CMVY
CHMI,CHMI
GGYF,GGYF
MPTV,MPTV
GNNK,GNNK
GEIA,GEIA
SHPY,SHPY
PMRM,PMRM
GRTR,GRTR
PHEM,PHEM
IYEL,IYEL
FCDK,FCDK
IYSF,IYSF
NRDP,NRDP
AHGE,AHGE
MMYF,MMYF
YKQE,YKQE
GKFT,GKFT
IENN,IENN
HAHG,HAHG
KVEH,KVEH
VILD,VILD
FSFE,FSFE
LVHQ,LVHQ
LICG,LICG
WSEM,WSEM
FHTK,FHTK
WCSE,WCSE
VDGM,VDGM
VVYE,VVYE
HPWQ,HPWQ
PDAY,PDAY
AGIA,AGIA
HCGK,HCGK
SAVI,SAVI
EKHK,EKHK
ICPA,ICPA
RWFE,RWFE
WHDE,WHDE
QIRD,QIRD
QKPK,QKPK
TQCF,TQCF
GVMW,GVMW
QGGM,QGGM
CREN,CREN
ASAL,ASAL
VRTV,VRTV
DVAV,DVAV
EFWC,EFWC
EHMY,EHMY
VWHM,VWHM
FSLN,FSLN
